notice_id,errors,flags,got_no_persons,got_nothing,labels,might_have_unparsed_persons,officers
597638,,1,,,,,2
598058,,,1,,1,,
599756,,1,,,,,1
600513,3,1,1,,1,1,
601164,,1,,,1,,1
601355,,,1,1,,,
603427,,2,,,1,,1
609394,,,1,1,,,
620406,,,,,,,1
621141,,1,,,1,,2
626978,,4,,,1,,1
632221,,1,,,,,2
632412,,,1,1,,,
634928,,,,,,,1
637436,,,,,,,1
637629,,,,,,,1
641842,,1,,,,,2
644675,,,1,1,,,
648549,,3,,,1,,2
649707,,,1,,1,,
652931,,2,,,1,,1
665939,,,1,1,,,
670093,,2,,,1,,1
677310,,,1,1,,,
677713,,,1,1,,,
678739,,,1,1,,,
682770,,,1,,1,,
683405,,3,,,1,1,1
690690,,3,,,1,,1
693407,,,1,1,,,
695296,,,,,,,1
696342,,1,,,1,,1
698130,,3,,,1,,1
700065,,,1,,1,,
719324,,,1,1,,,
728932,,,,,1,,1
732987,,,,,,1,1
737076,,,1,1,,,
743470,,,,,,,1
752396,,,1,,1,,
753373,,,1,1,,,
759658,,2,,,1,,1
760259,,,1,1,,,
763589,,,,,,,1
763881,,,,,,,1
764282,,,1,1,,,
765232,,,1,,1,,
766583,,,,,,1,1
766791,,,1,,1,,
771087,,,,,,1,2
774194,,1,,,1,,1
784091,,4,,,1,,1
789741,,,1,1,,,
793075,,,1,1,,,
796805,,3,,,1,,1
797005,,,,,,,1
799484,,,,,,,1
799891,,,1,1,,,
801816,,,1,1,,,
801847,,,1,,1,1,
809924,,4,,,,1,1
811279,,,1,,1,1,
816854,,2,1,,,,
817043,,,1,,1,,
819799,,,,,,,1
821265,,,1,1,,,
827741,,,1,1,,,
831439,,,1,1,,,
831500,,,1,1,,,
840968,,,1,,1,,
843890,,1,,,,,1
846431,,,1,1,,,
847660,,,1,,1,,
848204,,2,,,1,1,1
849713,,,1,1,,,
849871,,,1,,1,,
849918,,,,,1,,1
850251,,,1,1,,,
852009,,,1,,1,,
854709,,,,,,,1
858874,,,1,1,,,
858894,,,1,,1,,
865686,,,1,1,,,
869224,,,1,1,,,
876364,,,,,,,1
876456,,1,,,1,,1
878833,,,1,1,,,
879442,,1,,,1,,1
880146,,3,,,1,,1
889628,,,,,,,1
899125,,,,,,,1
899810,,1,,,1,,1
900340,,,1,1,,,
903315,,3,,,1,,1
904164,,,1,1,,,
909277,,,1,1,,,
909612,,,1,1,,,
911434,,,,,,,2
919020,1,3,,,1,1,1
920777,,1,,,,,2
927745,,1,,,1,,1
929375,,,,,,,1
932048,2,1,1,,1,1,
933076,,1,,,1,,1
937532,,2,,,,1,1
937856,,,1,1,,,
939276,,4,,,1,1,1
939283,,2,,,,,1
940432,,,1,1,,,
948753,,4,,,1,,1
950709,,,,,,,2
960987,,,1,,1,,
964709,,4,,,1,,1
972243,,1,,,,,1
977842,,2,,,,,1
978803,,3,,,1,,2
979811,,4,,,1,,1
984919,,,1,,1,,
988443,,,1,1,,,
991907,,,,,,,2
992379,,1,1,,,1,
992683,,,,,,,2
993312,1,,,,,1,1
997109,,,1,1,,,
997141,,,,,,,2
997629,,3,,,1,,1
998864,,4,,,1,,1
999444,,,1,1,,,
999585,,2,,,1,1,2
1003926,,,1,,1,,
1003931,1,4,1,,1,1,
1006016,,,1,,1,,
1012078,,1,,,1,,1
1016754,,,1,1,,,
1017730,,,,,,,1
1024395,,1,,,,,2
1030250,,3,,,1,,1
1031920,,,,,,,2
1032188,,1,,,1,,1
1042193,,,1,1,,,
1044496,,3,,,1,1,1
1045157,,,1,1,,,
1045798,,1,,,,,1
1049179,,,,,,1,2
1055883,,,1,1,,,
1056278,,1,,,,,1
1056300,,,1,1,,,
1057615,,,1,1,,,
1057985,,3,,,1,,1
1060216,,4,,,1,,1
1060491,,,,,,,1
1062696,,1,,,1,,1
