+-----------+-----------+--------+-------+----------------+-------------+--------+-----------------------------+---------+----------+
| notice_id | addresses | errors | flags | got_no_persons | got_nothing | labels | might_have_unparsed_persons | notices | officers |
|    9739   |     1     |   1    |   4   |                |             |        |                             |         |    1     |
|    9740   |           |        |   3   |                |             |        |                             |         |    1     |
|    9823   |           |        |       |       1        |      1      |        |                             |         |          |
|    9855   |           |        |       |                |             |        |                             |         |    1     |
|    9925   |           |   3    |   2   |                |             |        |                             |    1    |    1     |
|    9950   |           |        |       |                |             |        |                             |         |    1     |
|    9955   |           |        |       |                |             |        |                             |         |    1     |
|    9962   |           |        |       |       1        |      1      |        |                             |         |          |
|   10050   |           |        |       |                |             |        |                             |         |    1     |
|   10060   |           |        |       |       1        |             |        |                             |    1    |          |
|   10162   |           |        |       |                |             |        |                             |         |    2     |
|   10170   |           |        |       |                |             |        |                             |         |    2     |
|   10225   |           |   1    |   3   |                |             |        |                             |         |    1     |
|   10317   |           |        |       |                |             |        |                             |         |    1     |
|   10387   |           |        |       |       1        |             |        |                             |    1    |          |
|   10488   |           |        |       |                |             |        |                             |         |    1     |
|   10493   |           |        |   1   |                |             |        |                             |         |    2     |
|   10519   |           |        |   3   |                |             |        |                             |         |    3     |
|   10540   |           |   1    |   1   |                |             |        |                             |         |    2     |
|   10717   |           |        |       |       1        |             |        |                             |    1    |          |
|   10864   |           |   5    |   4   |                |             |        |                             |         |    2     |
|   10886   |           |        |       |       1        |      1      |        |                             |         |          |
|   10897   |           |   1    |       |                |             |        |                             |         |    2     |
|   10985   |           |        |   3   |                |             |        |                             |    1    |    3     |
|   11046   |           |        |       |                |             |        |                             |         |    1     |
|   11087   |           |        |   1   |                |             |        |                             |         |    1     |
|   11142   |           |   1    |   2   |                |             |        |                             |         |    3     |
|   11260   |           |        |       |       1        |             |        |                             |    1    |          |
|   11324   |           |   1    |   1   |                |             |        |                             |         |    2     |
|   11367   |           |        |   1   |                |             |        |                             |         |    1     |
|   11376   |           |        |       |                |             |        |                             |         |    3     |
|   11389   |           |        |       |                |             |        |                             |         |    2     |
|   11399   |           |   2    |   2   |                |             |        |                             |         |    1     |
|   11493   |           |   1    |       |                |             |        |                             |         |    1     |
|   11585   |           |   2    |       |                |             |        |              1              |         |    2     |
|   11600   |           |        |   1   |                |             |        |                             |         |    1     |
|   11625   |           |   3    |   2   |                |             |        |                             |         |    1     |
|   11669   |           |        |       |       1        |             |        |                             |    1    |          |
|   11724   |           |   1    |   4   |                |             |        |                             |         |    1     |
|   11747   |           |        |       |       1        |      1      |        |                             |         |          |
|   11781   |           |        |   3   |                |             |        |                             |         |    4     |
|   11889   |           |        |   3   |                |             |        |                             |         |    1     |
|   11894   |           |        |       |                |             |        |                             |         |    3     |
|   11903   |           |        |   1   |                |             |        |                             |         |    1     |
|   11946   |           |        |       |       1        |      1      |        |                             |         |          |
|   12055   |           |        |   3   |                |             |        |                             |         |    1     |
|   12088   |           |        |       |                |             |        |                             |         |    1     |
|   12123   |           |   3    |   2   |                |             |        |                             |         |    2     |
|   12151   |           |   2    |       |       1        |             |        |              1              |         |          |
|   12186   |           |        |       |                |             |        |                             |         |    1     |
|   12262   |           |        |       |                |             |        |                             |         |    1     |
|   12302   |           |        |       |                |             |        |                             |         |    2     |
|   12337   |           |   1    |   4   |                |             |        |                             |         |    2     |
|   12341   |           |        |   2   |                |             |        |                             |    1    |    1     |
|   12343   |           |        |       |       1        |      1      |        |                             |         |          |
|   12386   |           |        |   3   |                |             |        |                             |         |    2     |
|   12393   |           |        |   2   |                |             |        |                             |    1    |    3     |
|   12447   |           |   3    |   1   |                |             |        |                             |    1    |    3     |
|   12458   |           |   2    |   2   |                |             |        |                             |         |    1     |
|   12572   |           |   2    |   6   |                |             |        |                             |         |    3     |
|   12573   |           |        |       |       1        |             |        |              1              |    1    |          |
|   12618   |     1     |   1    |       |                |             |        |                             |         |    2     |
|   12742   |           |        |       |       1        |      1      |        |                             |         |          |
|   12756   |           |        |       |       1        |             |        |                             |    1    |          |
|   12769   |           |        |       |       1        |      1      |        |                             |         |          |
|   12943   |           |        |   1   |                |             |        |                             |         |    1     |
|   12945   |     1     |        |   2   |                |             |        |                             |         |    2     |
|   12960   |           |        |   1   |                |             |        |                             |         |    2     |
|   13102   |           |        |   2   |                |             |        |                             |         |    2     |
|   13110   |           |   1    |       |                |             |        |                             |         |    3     |
|   13141   |           |        |       |                |             |        |                             |         |    1     |
|   13164   |           |        |   1   |                |             |        |                             |         |    1     |
|   13189   |           |        |   2   |                |             |        |                             |         |    2     |
|   13190   |           |   1    |       |                |             |        |                             |         |    2     |
|   13197   |           |        |   1   |                |             |        |                             |         |    1     |
|   13210   |           |   1    |   3   |                |             |        |                             |         |    2     |
|   13214   |           |        |       |                |             |        |                             |         |    2     |
|   13239   |     1     |        |       |                |             |        |                             |         |    1     |
|   13265   |           |   4    |   2   |                |             |        |                             |         |    1     |
|   13314   |           |        |   1   |                |             |        |                             |         |    2     |
|   13403   |           |        |   4   |                |             |        |                             |         |    2     |
|   13418   |           |   3    |   3   |                |             |        |                             |         |    1     |
|   13426   |           |        |   3   |                |             |        |                             |         |    1     |
|   13463   |           |        |       |       1        |      1      |        |                             |         |          |
|   13489   |           |   1    |   3   |                |             |        |                             |         |    1     |
|   13500   |           |        |       |                |             |        |                             |         |    1     |
|   13546   |           |        |   1   |                |             |        |                             |    1    |    1     |
|   13607   |           |   1    |   1   |                |             |        |                             |         |    1     |
|   13678   |           |        |       |       1        |      1      |        |                             |         |          |
|   13688   |           |   1    |   1   |                |             |        |                             |         |    3     |
|   13710   |           |   3    |   3   |                |             |        |                             |         |    1     |
|   13769   |           |        |       |                |             |        |                             |         |    1     |
|   13774   |     1     |   1    |   1   |                |             |        |                             |         |    2     |
|   13776   |           |        |       |       1        |      1      |        |                             |         |          |
|   13800   |           |        |   2   |                |             |        |                             |         |    1     |
|   13804   |           |   4    |   4   |                |             |        |                             |         |    2     |
|   13817   |           |   1    |   1   |                |             |        |                             |         |    1     |
|   13827   |           |        |       |                |             |        |                             |         |    2     |
|   13837   |           |        |       |                |             |        |                             |         |    1     |
|   13848   |           |        |       |                |             |        |                             |         |    1     |
|   13876   |           |        |       |       1        |             |        |                             |    1    |          |
|   14038   |           |        |       |       1        |      1      |        |                             |         |          |
|   14091   |           |        |       |       1        |      1      |        |                             |         |          |
|   14103   |           |        |       |       1        |             |        |                             |    1    |          |
|   14108   |           |   1    |   1   |                |             |        |                             |    1    |    4     |
|   14129   |           |        |   1   |                |             |        |                             |         |    1     |
|   14147   |           |        |       |                |             |        |                             |         |    1     |
|   14153   |           |   1    |   2   |                |             |        |                             |         |    1     |
|   14312   |           |   3    |   2   |                |             |        |                             |         |    1     |
|   14316   |           |        |       |                |             |        |                             |         |    1     |
|   14331   |           |        |       |       1        |             |        |                             |    1    |          |
|   14340   |           |        |   1   |                |             |        |                             |         |    1     |
|   14355   |           |        |   3   |                |             |        |                             |         |    1     |
|   14393   |           |   1    |   4   |                |             |        |                             |         |    2     |
|   14419   |           |   3    |   4   |                |             |        |                             |         |    1     |
|   14420   |           |   1    |   3   |                |             |        |                             |         |    1     |
|   14424   |           |   2    |   3   |                |             |        |                             |         |    1     |
|   14460   |           |        |       |       1        |      1      |        |                             |         |          |
|   14487   |           |        |       |                |             |        |                             |         |    1     |
|   14718   |           |   1    |   1   |                |             |        |                             |         |    1     |
